unique_id,adjpoll_clinton,adjpoll_trump,handle,fecha,index_weighted
201624_Clinton vs. Trump,42.93602222222222,40.77421777777778,Clinton vs. Trump,2016-02-04,2.8343052824054162e-06
201625_Clinton vs. Trump,43.439915000000006,38.54165166666667,Clinton vs. Trump,2016-02-05,2.7017347185700357e-06
201626_Clinton vs. Trump,43.712894444444444,39.76605333333333,Clinton vs. Trump,2016-02-06,7.766303715964513e-06
201627_Clinton vs. Trump,44.190575555555554,40.32687222222222,Clinton vs. Trump,2016-02-07,1.9601640628033255e-05
201628_Clinton vs. Trump,43.379889999999996,35.58992,Clinton vs. Trump,2016-02-08,9.007737565105023e-09
201629_Clinton vs. Trump,45.47421666666667,33.61337,Clinton vs. Trump,2016-02-09,9.578072352748545e-09
2016310_Clinton vs. Trump,43.83734904761905,41.21613,Clinton vs. Trump,2016-03-10,0.0002009760759776511
2016311_Clinton vs. Trump,40.49714111111111,38.57530666666666,Clinton vs. Trump,2016-03-11,2.7256704887662214e-05
2016312_Clinton vs. Trump,41.188161666666666,41.322,Clinton vs. Trump,2016-03-12,5.91533865039913e-07
2016313_Clinton vs. Trump,43.305883333333334,39.89910666666666,Clinton vs. Trump,2016-03-13,1.1849903077310891e-07
2016314_Clinton vs. Trump,39.23822,39.93445666666667,Clinton vs. Trump,2016-03-14,5.2921016386724995e-08
2016315_Clinton vs. Trump,38.00068,37.581160000000004,Clinton vs. Trump,2016-03-15,5.563368468700038e-08
2016316_Clinton vs. Trump,46.73784333333333,36.8521,Clinton vs. Trump,2016-03-16,6.747877668750964e-06
2016317_Clinton vs. Trump,44.14848222222222,39.999274444444445,Clinton vs. Trump,2016-03-17,3.86354974124547e-06
2016318_Clinton vs. Trump,42.75765166666667,40.99510333333333,Clinton vs. Trump,2016-03-18,9.842549318551947e-08
2016319_Clinton vs. Trump,38.14059,40.97935666666667,Clinton vs. Trump,2016-03-19,6.088444761788093e-08
201631_Clinton vs. Trump,40.770285,37.22016166666666,Clinton vs. Trump,2016-03-01,6.547620820791975e-08
2016320_Clinton vs. Trump,44.31016888888889,40.723283888888886,Clinton vs. Trump,2016-03-20,4.7001891152549695e-05
2016321_Clinton vs. Trump,43.606165,41.97098583333334,Clinton vs. Trump,2016-03-21,1.1277670426874805e-05
2016322_Clinton vs. Trump,45.879278666666664,38.20986066666667,Clinton vs. Trump,2016-03-22,4.879157560606412e-05
2016323_Clinton vs. Trump,47.24163888888889,36.52870111111111,Clinton vs. Trump,2016-03-23,6.728139914602348e-05
2016324_Clinton vs. Trump,45.280716,39.426078,Clinton vs. Trump,2016-03-24,0.0001268353610422428
2016325_Clinton vs. Trump,41.903729999999996,37.42008,Clinton vs. Trump,2016-03-25,7.371640806843333e-08
2016326_Clinton vs. Trump,43.99796555555556,40.70288222222222,Clinton vs. Trump,2016-03-26,6.205832881100109e-06
2016327_Clinton vs. Trump,43.65033333333333,36.347636666666666,Clinton vs. Trump,2016-03-27,8.435680512976974e-08
2016328_Clinton vs. Trump,44.655335,38.149645,Clinton vs. Trump,2016-03-28,1.1155797425474465e-07
2016329_Clinton vs. Trump,47.519622222222225,37.53135333333333,Clinton vs. Trump,2016-03-29,0.00014043637021196159
201632_Clinton vs. Trump,42.84811833333333,38.37903666666667,Clinton vs. Trump,2016-03-02,8.303594134370317e-06
