retweets_clinton,favorites_clinton,tw_count_cl,retweets_trump,favorites_trump,tw_count_tr,adjpoll_clinton,adjpoll_trump,index_weighted,date,Open,High,Low,Close,Adj Close,Volume,market_op_cl
,,,1729.0,1508.0,8.0,,,,2011-09-29,,,,,,,market_closed
,,,1063.0,441.0,8.0,,,,2011-09-30,,,,,,,market_closed
,,,1081.0,653.0,5.0,,,,2011-09-06,,,,,,,market_closed
,,,2811.0,2530.0,5.0,,,,2011-09-07,,,,,,,market_closed
,,,1331.0,331.0,6.0,,,,2011-09-08,,,,,,,market_closed
,,,739.0,783.0,3.0,,,,2011-09-09,,,,,,,market_closed
,,,4813.0,2234.0,27.0,,,,2012-10-01,,,,,,,market_closed
,,,11282.0,6589.0,24.0,,,,2012-10-10,,,,,,,market_closed
,,,28327.0,23113.0,34.0,,,,2012-10-11,,,,,,,market_closed
,,,4483.0,1918.0,21.0,,,,2012-10-12,,,,,,,market_closed
,,,4739.0,3822.0,9.0,,,,2012-10-13,,,,,,,market_closed
,,,108675.0,127029.0,11.0,,,,2012-10-14,,,,,,,market_closed
,,,15079.0,12366.0,35.0,,,,2012-10-15,,,,,,,market_closed
,,,83483.0,75323.0,53.0,,,,2012-10-16,,,,,,,market_closed
,,,82035.0,98154.0,52.0,,,,2012-10-17,,,,,,,market_closed
,,,25896.0,22858.0,40.0,,,,2012-10-18,,,,,,,market_closed
,,,20248.0,12466.0,48.0,,,,2012-10-19,,,,,,,market_closed
,,,9817.0,3673.0,23.0,,,,2012-10-02,,,,,,,market_closed
,,,1500.0,1070.0,3.0,,,,2012-10-20,,,,,,,market_closed
,,,905.0,288.0,3.0,,,,2012-10-21,,,,,,,market_closed
,,,111487.0,104648.0,60.0,,,,2012-10-22,,,,,,,market_closed
,,,12932.0,6081.0,29.0,,,,2012-10-23,,,,,,,market_closed
,,,16722.0,5467.0,18.0,,,,2012-10-24,,,,,,,market_closed
,,,9098.0,3776.0,29.0,,,,2012-10-25,,,,,,,market_closed
,,,11359.0,7857.0,51.0,,,,2012-10-26,,,,,,,market_closed
,,,2431.0,1692.0,6.0,,,,2012-10-27,,,,,,,market_closed
,,,10444.0,10949.0,14.0,,,,2012-10-28,,,,,,,market_closed
,,,7557.0,4243.0,10.0,,,,2012-10-29,,,,,,,market_closed
,,,13725.0,8519.0,31.0,,,,2012-10-03,,,,,,,market_closed
,,,39039.0,32069.0,33.0,,,,2012-10-30,,,,,,,market_closed
,,,13276.0,6385.0,33.0,,,,2012-10-31,,,,,,,market_closed
,,,4122.0,1700.0,18.0,,,,2012-10-04,,,,,,,market_closed
,,,911.0,312.0,8.0,,,,2012-10-05,,,,,,,market_closed
,,,52854.0,69342.0,21.0,,,,2012-10-08,,,,,,,market_closed
,,,35851.0,22930.0,22.0,,,,2012-10-09,,,,,,,market_closed
,,,19038.0,16063.0,9.0,,,,2012-01-10,,,,,,,market_closed
,,,6994.0,2557.0,17.0,,,,2012-11-01,,,,,,,market_closed
,,,13721.0,16714.0,10.0,,,,2012-11-10,,,,,,,market_closed
,,,2712.0,2719.0,2.0,,,,2012-11-11,,,,,,,market_closed
,,,5334.0,2275.0,24.0,,,,2012-11-12,,,,,,,market_closed
,,,14935.0,11497.0,18.0,,,,2012-11-13,,,,,,,market_closed
,,,6846.0,4571.0,18.0,,,,2012-11-14,,,,,,,market_closed
,,,7932.0,5881.0,35.0,,,,2012-11-15,,,,,,,market_closed
,,,1736.0,669.0,9.0,,,,2012-11-16,,,,,,,market_closed
,,,25772.0,27502.0,40.0,,,,2012-11-19,,,,,,,market_closed
,,,18093.0,9691.0,46.0,,,,2012-11-02,,,,,,,market_closed
,,,8090.0,5791.0,34.0,,,,2012-11-20,,,,,,,market_closed
,,,11001.0,11675.0,16.0,,,,2012-11-21,,,,,,,market_closed
,,,17115.0,16547.0,4.0,,,,2012-11-24,,,,,,,market_closed
,,,4773.0,2317.0,19.0,,,,2012-11-26,,,,,,,market_closed
,,,6952.0,4667.0,21.0,,,,2012-11-27,,,,,,,market_closed
,,,6593.0,3680.0,32.0,,,,2012-11-28,,,,,,,market_closed
,,,8428.0,8772.0,26.0,,,,2012-11-29,,,,,,,market_closed
,,,21815.0,22301.0,13.0,,,,2012-11-03,,,,,,,market_closed
,,,1426.0,905.0,22.0,,,,2012-11-30,,,,,,,market_closed
,,,5663.0,3261.0,11.0,,,,2012-11-04,,,,,,,market_closed
,,,15122.0,5333.0,41.0,,,,2012-11-05,,,,,,,market_closed
,,,421674.0,269531.0,52.0,,,,2012-11-06,,,,,,,market_closed
,,,62194.0,53264.0,39.0,,,,2012-11-07,,,,,,,market_closed
,,,17658.0,7034.0,27.0,,,,2012-11-08,,,,,,,market_closed
,,,9050.0,4947.0,29.0,,,,2012-11-09,,,,,,,market_closed
,,,1569.0,206.0,7.0,,,,2012-01-20,,,,,,,market_closed
,,,19890.0,21578.0,38.0,,,,2012-12-10,,,,,,,market_closed
,,,5788.0,2989.0,26.0,,,,2012-12-11,,,,,,,market_closed
,,,9310.0,4649.0,22.0,,,,2012-12-12,,,,,,,market_closed
,,,145.0,49.0,6.0,,,,2012-12-13,,,,,,,market_closed
,,,163.0,58.0,1.0,,,,2012-12-14,,,,,,,market_closed
,,,1360.0,507.0,2.0,,,,2012-12-15,,,,,,,market_closed
,,,14360.0,11840.0,11.0,,,,2012-12-17,,,,,,,market_closed
,,,5626.0,7823.0,11.0,,,,2012-12-18,,,,,,,market_closed
,,,3371.0,2303.0,21.0,,,,2012-12-19,,,,,,,market_closed
,,,3628.0,2353.0,37.0,,,,2012-12-20,,,,,,,market_closed
,,,2675.0,1844.0,23.0,,,,2012-12-21,,,,,,,market_closed
,,,73.0,85.0,18.0,,,,2012-12-23,,,,,,,market_closed
,,,549.0,574.0,1.0,,,,2012-12-24,,,,,,,market_closed
,,,825.0,451.0,7.0,,,,2012-12-26,,,,,,,market_closed
,,,1434.0,711.0,10.0,,,,2012-12-27,,,,,,,market_closed
,,,6222.0,2716.0,36.0,,,,2012-12-28,,,,,,,market_closed
,,,4465.0,2023.0,42.0,,,,2012-12-03,,,,,,,market_closed
,,,850.0,520.0,3.0,,,,2012-12-31,,,,,,,market_closed
,,,4262.0,1634.0,39.0,,,,2012-12-04,,,,,,,market_closed
,,,6721.0,5871.0,49.0,,,,2012-12-05,,,,,,,market_closed
,,,9223.0,5814.0,65.0,,,,2012-12-06,,,,,,,market_closed
,,,6293.0,2690.0,37.0,,,,2012-12-07,,,,,,,market_closed
,,,1199.0,475.0,12.0,,,,2012-01-03,,,,,,,market_closed
,,,1045.0,158.0,10.0,,,,2012-01-30,,,,,,,market_closed
,,,934.0,165.0,11.0,,,,2012-01-31,,,,,,,market_closed
,,,3274.0,1532.0,12.0,,,,2012-01-04,,,,,,,market_closed
,,,2100.0,966.0,7.0,,,,2012-01-05,,,,,,,market_closed
,,,1439.0,351.0,10.0,,,,2012-01-06,,,,,,,market_closed
,,,1249.0,617.0,9.0,,,,2012-01-09,,,,,,,market_closed
,,,1434.0,454.0,14.0,,,,2012-02-01,,,,,,,market_closed
,,,666.0,271.0,8.0,,,,2012-02-10,,,,,,,market_closed
,,,1277.0,666.0,10.0,,,,2012-02-13,,,,,,,market_closed
,,,1917.0,878.0,12.0,,,,2012-02-14,,,,,,,market_closed
,,,1203.0,457.0,22.0,,,,2012-02-15,,,,,,,market_closed
,,,1103.0,189.0,13.0,,,,2012-02-16,,,,,,,market_closed
,,,1056.0,307.0,10.0,,,,2012-02-17,,,,,,,market_closed
,,,336.0,44.0,2.0,,,,2012-02-02,,,,,,,market_closed
,,,1463.0,585.0,12.0,,,,2012-02-21,,,,,,,market_closed
,,,1249.0,459.0,11.0,,,,2012-02-22,,,,,,,market_closed
,,,5353.0,3735.0,11.0,,,,2012-02-23,,,,,,,market_closed
,,,1137.0,446.0,12.0,,,,2012-02-24,,,,,,,market_closed
,,,2372.0,1488.0,15.0,,,,2012-02-27,,,,,,,market_closed
,,,1155.0,186.0,11.0,,,,2012-02-28,,,,,,,market_closed
,,,654.0,194.0,8.0,,,,2012-02-29,,,,,,,market_closed
,,,594.0,205.0,9.0,,,,2012-02-03,,,,,,,market_closed
,,,101.0,20.0,3.0,,,,2012-02-05,,,,,,,market_closed
,,,1135.0,292.0,19.0,,,,2012-02-06,,,,,,,market_closed
,,,867.0,202.0,10.0,,,,2012-02-07,,,,,,,market_closed
,,,5539.0,8276.0,26.0,,,,2012-02-08,,,,,,,market_closed
,,,1326.0,731.0,19.0,,,,2012-02-09,,,,,,,market_closed
,,,661.0,414.0,6.0,,,,2012-03-01,,,,,,,market_closed
,,,22634.0,34026.0,17.0,,,,2012-03-12,,,,,,,market_closed
,,,1847.0,976.0,11.0,,,,2012-03-13,,,,,,,market_closed
,,,552.0,95.0,8.0,,,,2012-03-14,,,,,,,market_closed
,,,972.0,427.0,10.0,,,,2012-03-15,,,,,,,market_closed
,,,2091.0,651.0,12.0,,,,2012-03-16,,,,,,,market_closed
,,,51.0,11.0,1.0,,,,2012-03-17,,,,,,,market_closed
,,,4330.0,3775.0,10.0,,,,2012-03-19,,,,,,,market_closed
,,,3048.0,2233.0,9.0,,,,2012-03-20,,,,,,,market_closed
,,,1351.0,829.0,8.0,,,,2012-03-21,,,,,,,market_closed
,,,1006.0,428.0,10.0,,,,2012-03-22,,,,,,,market_closed
,,,761.0,238.0,9.0,,,,2012-03-23,,,,,,,market_closed
,,,534.0,135.0,8.0,,,,2012-03-26,,,,,,,market_closed
,,,1168.0,272.0,15.0,,,,2012-03-28,,,,,,,market_closed
,,,917.0,177.0,13.0,,,,2012-03-29,,,,,,,market_closed
,,,2017.0,839.0,16.0,,,,2012-03-30,,,,,,,market_closed
,,,1282.0,799.0,13.0,,,,2012-03-05,,,,,,,market_closed
,,,1674.0,587.0,10.0,,,,2012-03-06,,,,,,,market_closed
,,,480.0,75.0,8.0,,,,2012-03-07,,,,,,,market_closed
,,,535.0,101.0,7.0,,,,2012-03-08,,,,,,,market_closed
,,,746.0,101.0,5.0,,,,2012-03-09,,,,,,,market_closed
,,,985.0,731.0,12.0,,,,2012-04-10,,,,,,,market_closed
,,,1826.0,1066.0,8.0,,,,2012-04-11,,,,,,,market_closed
,,,1438.0,747.0,12.0,,,,2012-04-12,,,,,,,market_closed
,,,3434.0,1755.0,11.0,,,,2012-04-13,,,,,,,market_closed
,,,780.0,256.0,3.0,,,,2012-04-14,,,,,,,market_closed
,,,169.0,60.0,2.0,,,,2012-04-15,,,,,,,market_closed
,,,2202.0,1839.0,6.0,,,,2012-04-16,,,,,,,market_closed
,,,413.0,133.0,6.0,,,,2012-04-17,,,,,,,market_closed
,,,1652.0,818.0,12.0,,,,2012-04-18,,,,,,,market_closed
,,,2589.0,1528.0,14.0,,,,2012-04-19,,,,,,,market_closed
,,,1160.0,365.0,12.0,,,,2012-04-02,,,,,,,market_closed
,,,1125.0,686.0,3.0,,,,2012-04-20,,,,,,,market_closed
,,,235.0,44.0,3.0,,,,2012-04-22,,,,,,,market_closed
,,,1611.0,607.0,12.0,,,,2012-04-23,,,,,,,market_closed
,,,1425.0,1012.0,8.0,,,,2012-04-24,,,,,,,market_closed
,,,195.0,29.0,2.0,,,,2012-04-25,,,,,,,market_closed
,,,967.0,186.0,8.0,,,,2012-04-26,,,,,,,market_closed
,,,1354.0,852.0,8.0,,,,2012-04-27,,,,,,,market_closed
,,,60.0,11.0,1.0,,,,2012-04-29,,,,,,,market_closed
,,,1202.0,257.0,9.0,,,,2012-04-03,,,,,,,market_closed
,,,1146.0,569.0,10.0,,,,2012-04-30,,,,,,,market_closed
,,,621.0,342.0,8.0,,,,2012-04-04,,,,,,,market_closed
,,,1459.0,1239.0,12.0,,,,2012-04-05,,,,,,,market_closed
,,,2007.0,1242.0,14.0,,,,2012-04-06,,,,,,,market_closed
,,,740.0,308.0,7.0,,,,2012-04-09,,,,,,,market_closed
,,,1126.0,690.0,8.0,,,,2012-05-01,,,,,,,market_closed
,,,1512.0,577.0,7.0,,,,2012-05-10,,,,,,,market_closed
,,,2107.0,455.0,11.0,,,,2012-05-11,,,,,,,market_closed
,,,4510.0,2427.0,21.0,,,,2012-05-14,,,,,,,market_closed
,,,2877.0,1006.0,12.0,,,,2012-05-15,,,,,,,market_closed
,,,976.0,261.0,6.0,,,,2012-05-16,,,,,,,market_closed
,,,855.0,414.0,6.0,,,,2012-05-17,,,,,,,market_closed
,,,3353.0,2862.0,13.0,,,,2012-05-18,,,,,,,market_closed
,,,741.0,348.0,10.0,,,,2012-05-02,,,,,,,market_closed
,,,60.0,14.0,1.0,,,,2012-05-20,,,,,,,market_closed
,,,1694.0,510.0,15.0,,,,2012-05-21,,,,,,,market_closed
,,,2742.0,1542.0,16.0,,,,2012-05-22,,,,,,,market_closed
,,,1324.0,430.0,10.0,,,,2012-05-23,,,,,,,market_closed
,,,3519.0,1423.0,11.0,,,,2012-05-24,,,,,,,market_closed
,,,269.0,157.0,1.0,,,,2012-05-27,,,,,,,market_closed
,,,2430.0,647.0,16.0,,,,2012-05-29,,,,,,,market_closed
,,,645.0,110.0,6.0,,,,2012-05-03,,,,,,,market_closed
,,,6975.0,6664.0,22.0,,,,2012-05-30,,,,,,,market_closed
,,,2934.0,1690.0,11.0,,,,2012-05-31,,,,,,,market_closed
,,,1556.0,546.0,11.0,,,,2012-05-04,,,,,,,market_closed
,,,864.0,212.0,33.0,,,,2012-05-06,,,,,,,market_closed
,,,1091.0,228.0,13.0,,,,2012-05-07,,,,,,,market_closed
,,,1699.0,423.0,7.0,,,,2012-05-08,,,,,,,market_closed
,,,1415.0,692.0,8.0,,,,2012-05-09,,,,,,,market_closed
,,,2332.0,1073.0,17.0,,,,2012-06-01,,,,,,,market_closed
,,,1803.0,787.0,16.0,,,,2012-06-11,,,,,,,market_closed
,,,4190.0,2269.0,14.0,,,,2012-06-12,,,,,,,market_closed
,,,2023.0,590.0,11.0,,,,2012-06-13,,,,,,,market_closed
,,,2208.0,2268.0,8.0,,,,2012-06-14,,,,,,,market_closed
,,,1522.0,503.0,9.0,,,,2012-06-15,,,,,,,market_closed
,,,1830.0,946.0,13.0,,,,2012-06-18,,,,,,,market_closed
,,,1251.0,563.0,6.0,,,,2012-06-19,,,,,,,market_closed
,,,41.0,7.0,1.0,,,,2012-06-02,,,,,,,market_closed
,,,3371.0,1462.0,8.0,,,,2012-06-20,,,,,,,market_closed
,,,2635.0,599.0,11.0,,,,2012-06-21,,,,,,,market_closed
,,,1074.0,237.0,9.0,,,,2012-06-22,,,,,,,market_closed
,,,2004.0,519.0,9.0,,,,2012-06-25,,,,,,,market_closed
,,,1973.0,575.0,10.0,,,,2012-06-26,,,,,,,market_closed
,,,3237.0,2009.0,6.0,,,,2012-06-27,,,,,,,market_closed
,,,3939.0,1171.0,10.0,,,,2012-06-28,,,,,,,market_closed
,,,1788.0,514.0,11.0,,,,2012-06-29,,,,,,,market_closed
,,,625.0,572.0,4.0,,,,2012-06-03,,,,,,,market_closed
,,,1322.0,365.0,10.0,,,,2012-06-04,,,,,,,market_closed
,,,1081.0,312.0,9.0,,,,2012-06-05,,,,,,,market_closed
,,,2950.0,1680.0,9.0,,,,2012-06-06,,,,,,,market_closed
,,,696.0,252.0,8.0,,,,2012-06-07,,,,,,,market_closed
,,,2131.0,1701.0,12.0,,,,2012-06-08,,,,,,,market_closed
,,,302.0,96.0,6.0,,,,2012-06-09,,,,,,,market_closed
,,,10673.0,6351.0,12.0,,,,2012-07-10,,,,,,,market_closed
,,,3437.0,2651.0,13.0,,,,2012-07-11,,,,,,,market_closed
,,,1863.0,788.0,6.0,,,,2012-07-12,,,,,,,market_closed
,,,6289.0,3639.0,25.0,,,,2012-07-13,,,,,,,market_closed
,,,1194.0,507.0,12.0,,,,2012-07-16,,,,,,,market_closed
,,,13400.0,18434.0,20.0,,,,2012-07-17,,,,,,,market_closed
,,,12473.0,7504.0,21.0,,,,2012-07-18,,,,,,,market_closed
,,,4562.0,1533.0,15.0,,,,2012-07-19,,,,,,,market_closed
,,,1451.0,447.0,9.0,,,,2012-07-02,,,,,,,market_closed
,,,4011.0,1514.0,11.0,,,,2012-07-20,,,,,,,market_closed
,,,4262.0,2506.0,16.0,,,,2012-07-23,,,,,,,market_closed
,,,1227.0,311.0,9.0,,,,2012-07-24,,,,,,,market_closed
,,,3611.0,913.0,17.0,,,,2012-07-25,,,,,,,market_closed
,,,1039.0,407.0,2.0,,,,2012-07-26,,,,,,,market_closed
,,,7830.0,5262.0,13.0,,,,2012-07-27,,,,,,,market_closed
,,,3658.0,1611.0,21.0,,,,2012-07-03,,,,,,,market_closed
,,,5067.0,2650.0,12.0,,,,2012-07-30,,,,,,,market_closed
,,,3306.0,1705.0,14.0,,,,2012-07-31,,,,,,,market_closed
,,,7779.0,5774.0,15.0,,,,2012-07-05,,,,,,,market_closed
,,,3117.0,2970.0,6.0,,,,2012-07-06,,,,,,,market_closed
,,,62.0,17.0,1.0,,,,2012-07-07,,,,,,,market_closed
,,,123.0,80.0,2.0,,,,2012-07-09,,,,,,,market_closed
,,,4659.0,3529.0,13.0,,,,2012-08-01,,,,,,,market_closed
,,,2560.0,805.0,17.0,,,,2012-08-10,,,,,,,market_closed
,,,2624.0,782.0,18.0,,,,2012-08-13,,,,,,,market_closed
,,,2105.0,443.0,12.0,,,,2012-08-14,,,,,,,market_closed
,,,2302.0,1162.0,16.0,,,,2012-08-15,,,,,,,market_closed
,,,13824.0,12037.0,22.0,,,,2012-08-16,,,,,,,market_closed
,,,6743.0,4775.0,19.0,,,,2012-08-17,,,,,,,market_closed
,,,1726.0,436.0,11.0,,,,2012-08-02,,,,,,,market_closed
,,,995.0,295.0,16.0,,,,2012-08-20,,,,,,,market_closed
,,,6974.0,6729.0,21.0,,,,2012-08-21,,,,,,,market_closed
,,,5450.0,2471.0,15.0,,,,2012-08-22,,,,,,,market_closed
,,,4487.0,1649.0,19.0,,,,2012-08-23,,,,,,,market_closed
,,,7487.0,5459.0,19.0,,,,2012-08-24,,,,,,,market_closed
,,,4889.0,2149.0,22.0,,,,2012-08-27,,,,,,,market_closed
,,,12433.0,9971.0,23.0,,,,2012-08-28,,,,,,,market_closed
,,,3140.0,1154.0,13.0,,,,2012-08-29,,,,,,,market_closed
,,,4271.0,1855.0,16.0,,,,2012-08-30,,,,,,,market_closed
,,,3429.0,1065.0,13.0,,,,2012-08-31,,,,,,,market_closed
,,,28185.0,23866.0,17.0,,,,2012-08-06,,,,,,,market_closed
,,,4624.0,1565.0,20.0,,,,2012-08-07,,,,,,,market_closed
,,,2026.0,718.0,15.0,,,,2012-08-08,,,,,,,market_closed
,,,4823.0,2033.0,20.0,,,,2012-08-09,,,,,,,market_closed
,,,435.0,128.0,2.0,,,,2012-09-01,,,,,,,market_closed
,,,3049.0,3082.0,13.0,,,,2012-09-10,,,,,,,market_closed
,,,8281.0,4580.0,20.0,,,,2012-09-11,,,,,,,market_closed
,,,10042.0,3560.0,22.0,,,,2012-09-12,,,,,,,market_closed
