retweets_clinton,favorites_clinton,tw_count_cl,fecha,retweets_trump,favorites_trump,tw_count_tr,adjpoll_clinton,adjpoll_trump,index_weighted
18548.0,36165.0,11.0,2016-05-17,133671,444477,54,40.32938,34.45666,1.599783138617645e-09
17839.0,42532.0,13.0,2016-05-18,29109,90287,7,41.124343333333336,32.88200333333333,2.1492225705699674e-09
22657.0,49349.0,22.0,2016-05-19,18735,55307,3,40.71932,33.70747333333333,2.504011234464522e-09
18951.0,41938.0,19.0,2016-05-02,54666,160972,12,47.29393166666667,40.28409,1.7691057183447106e-06
29224.0,59049.0,18.0,2016-05-20,71477,208172,18,40.51376,33.834763333333335,2.6735300215379253e-09
14600.0,27870.0,8.0,2016-05-21,91031,196222,9,41.10875333333333,33.86156666666667,2.4105300610361262e-09
12435.0,31365.0,6.0,2016-05-22,56502,154899,8,47.16302,40.30889,3.8347468661498833e-08
15326.0,34639.0,13.0,2016-05-23,37538,115117,8,45.690866666666665,42.629176666666666,1.061699751855083e-07
23406.0,43729.0,17.0,2016-05-24,37967,104226,9,41.06328333333334,46.38348333333334,5.567871063951573e-10
22806.0,45392.0,15.0,2016-05-25,50736,163823,15,49.26058333333333,46.796776666666666,9.888049075474022e-09
21110.0,41227.0,17.0,2016-05-26,40807,130267,9,44.511536666666665,42.16751,5.079789666015683e-07
14512.0,25433.0,8.0,2016-05-27,28433,89157,7,43.18304153846154,42.56979307692308,1.0602640537554564
9208.0,18457.0,4.0,2016-05-28,45364,137448,8,42.00133066666667,41.981718,1.2729870577048876
6436.0,18020.0,4.0,2016-05-29,35674,110042,6,42.660592666666666,43.38562566666667,1.1706985162877337
21121.0,46861.0,20.0,2016-05-03,56109,171554,11,42.480639601990056,42.53530333333333,1.6938886245283682
10891.0,23527.0,4.0,2016-05-30,47174,161717,13,41.94061323076923,40.65890830769231,0.9043647524105324
13073.0,26428.0,12.0,2016-05-31,37346,126567,9,43.610562549019605,42.38706647058823,1.0878631200932505
62075.0,121719.0,17.0,2016-05-04,25034,79032,6,43.63706070707071,41.5621705050505,1.2284416132818392
39537.0,64357.0,20.0,2016-05-05,126764,236776,7,44.21216428571429,42.62833166666667,0.9870458439317844
20112.0,31998.0,10.0,2016-05-06,91430,272364,16,43.55721122807017,41.80948736842105,1.478534700863202
21401.0,39034.0,8.0,2016-05-07,24556,73339,5,41.95727347826087,42.064727777777776,1.3367778007664757
7788.0,27106.0,5.0,2016-05-08,21763,74349,7,43.86522388888889,42.42498388888889,0.0733506633752596
10518.0,19391.0,9.0,2016-05-09,56639,171453,19,42.14965989417989,43.69179634920635,1.0623411096471491
43588.0,67677.0,20.0,2016-06-01,25844,79408,5,40.34279303030303,45.33018575757576,0.8475412948980685
