unique_id_x,retweets,favorites,handle_x,fecha,adjpoll_clinton,adjpoll_trump,index_weighted
HillaryClinton_2016613,65880,169117,HillaryClinton,2016-06-13,42.817695394736845,42.8477383245614,3.4499601955955383
realDonaldTrump_2016613,69732,198264,realDonaldTrump,2016-06-13,42.817695394736845,42.8477383245614,3.4499601955955383
HillaryClinton_2016614,69520,165783,HillaryClinton,2016-06-14,43.41401948717949,42.50522042490843,5.722921873694354
realDonaldTrump_2016614,73883,182484,realDonaldTrump,2016-06-14,43.41401948717949,42.50522042490843,5.722921873694354
HillaryClinton_2016615,43675,112765,HillaryClinton,2016-06-15,41.83099186274509,43.49215362745098,3.416092521627484
realDonaldTrump_2016615,40424,124907,realDonaldTrump,2016-06-15,41.83099186274509,43.49215362745098,3.416092521627484
HillaryClinton_2016616,37011,89967,HillaryClinton,2016-06-16,42.18451267676768,42.8507969949495,3.367716153242222
realDonaldTrump_2016616,20348,58283,realDonaldTrump,2016-06-16,42.18451267676768,42.8507969949495,3.367716153242222
HillaryClinton_2016617,61141,143067,HillaryClinton,2016-06-17,43.752296666666666,44.63506944444444,0.478208773181362
realDonaldTrump_2016617,45608,142400,realDonaldTrump,2016-06-17,43.752296666666666,44.63506944444444,0.478208773181362
HillaryClinton_2016618,20064,61844,HillaryClinton,2016-06-18,44.76201487179487,42.17916230769231,0.9852915224914882
realDonaldTrump_2016618,39138,122554,realDonaldTrump,2016-06-18,44.76201487179487,42.17916230769231,0.9852915224914882
HillaryClinton_2016619,22569,122173,HillaryClinton,2016-06-19,43.41454205426356,42.30500258527132,19.60358725920456
realDonaldTrump_2016619,13463,41968,realDonaldTrump,2016-06-19,43.41454205426356,42.30500258527132,19.60358725920456
HillaryClinton_201662,51014,97199,HillaryClinton,2016-06-02,41.57325469135802,41.696260070987655,30.385592750189904
realDonaldTrump_201662,79229,249634,realDonaldTrump,2016-06-02,41.57325469135802,41.696260070987655,30.385592750189904
HillaryClinton_2016620,19096,55184,HillaryClinton,2016-06-20,44.49629230769231,41.00572235897436,0.2586276904535617
realDonaldTrump_2016620,6399,24928,realDonaldTrump,2016-06-20,44.49629230769231,41.00572235897436,0.2586276904535617
HillaryClinton_2016621,156465,288295,HillaryClinton,2016-06-21,45.16873844444444,42.49260155555555,0.530644701480359
realDonaldTrump_2016621,112465,285877,realDonaldTrump,2016-06-21,45.16873844444444,42.49260155555555,0.530644701480359
HillaryClinton_2016622,74904,164760,HillaryClinton,2016-06-22,44.57136696969697,42.63155727272727,0.3219085403351432
realDonaldTrump_2016622,35293,91615,realDonaldTrump,2016-06-22,44.57136696969697,42.63155727272727,0.3219085403351432
HillaryClinton_2016623,55796,127541,HillaryClinton,2016-06-23,42.34511972677596,43.20478191256831,0.6729384458127187
realDonaldTrump_2016623,78054,217218,realDonaldTrump,2016-06-23,42.34511972677596,43.20478191256831,0.6729384458127187
HillaryClinton_2016624,38591,82476,HillaryClinton,2016-06-24,45.12935523809524,41.89201571428572,0.3102252790820207
realDonaldTrump_2016624,90527,250899,realDonaldTrump,2016-06-24,45.12935523809524,41.89201571428572,0.3102252790820207
HillaryClinton_2016625,14254,34744,HillaryClinton,2016-06-25,44.54029722222222,41.98508,0.0366034326137721
realDonaldTrump_2016625,45957,151513,realDonaldTrump,2016-06-25,44.54029722222222,41.98508,0.0366034326137721
HillaryClinton_2016626,37440,106880,HillaryClinton,2016-06-26,42.91898068627451,41.85680352941177,0.5215502916635967
realDonaldTrump_2016626,75838,218773,realDonaldTrump,2016-06-26,42.91898068627451,41.85680352941177,0.5215502916635967
HillaryClinton_2016627,53269,136045,HillaryClinton,2016-06-27,42.54113,43.22254833333333,3.243880400761889e-06
